Bacia,Estações,Melhor Resultado
666628,"NOVO ALEGRE, UHE SOBRADO - MONTANTE, PCH SOBRADO MONTANTE, PCH SOBRADO BARRAMENTO, TAGUATINGA, CGH TAGUATINGA MONTANTE, ARRAIAS",2
666636,JUSANTE FOZ DO RIO BEZERRA,0
666638,"AHE BOA VISTA - MIRA M, AHE BOA VISTA - MIRA  N, 4 KM JUS CACH DO FUNIL",2
666642,SÃO VICENTE,0
666644,"PCH GALHEIROS I MONTANTE, PCH GALHEIROS I BARRAMENTO, PCH SÃO DOMINGOS MONTANTE, SÃO DOMINGOS, PCH SÃO DOMINGOS BARRAMENTO, PCH SÃO DOMINGOS II BARRAMENTO, PCH SÃO DOMINGOS, PCH SÃO DOMINGOS II JUSANTE",3
666652,PONTE SÃO MATEUS,0
666662,FAZENDA BRECHO,0
666666,"PCH RIACHÃO BARRAMENTO, PCH RIACHÃO JUSANTE, PCH SANTA EDWIGES I, PCH SANTA EDWIGES II BARRAMENTO, PCH SANTA EDWIGES II JUSANTE, PCH SANTA EDWIGES III BARRAMENTO, PCH SANTA EDWIGES III JUSANTE",6
666714,"PALMEIRÓPOLIS, UHE SÃO SALVADOR RIBEIRÃO MUCAMBINHO",1
666716,UHE SÃO SALVADOR RIO CUSTÓDIO,0
666718,UHE SÃO SALVADOR RIO MUCAMBÃO,0
666736,UHE CANA BRAVA RIO BONITO,0
666738,UHE CANA BRAVA RIO SÃO FELIX,0
666752,AHE SÃO FÉLIX - MIRA F / 3 MORROS,0
666828,CAPTAÇÃO ANDA SÓ - GOIANÉSIA,0
666896,"SALINAS, PALMA, PALMA - FAZENDA BIBOCA",1
666898,"CONTAGEM MONT. CAPTAÇÃO - EPCT-001, CONTAGEM JUS. CAPTAÇÃO - EPCT-001, CONTAGEM - RUA DO MATO, RUA DO MATO, ENGENHO VELHO - DF 150, FAZENDA SANTANA, CONTAGEM - VC 201, CONTAGEM",1
666992,"GO-230 - JARAGUÁ, CAPTAÇÃO - MONTANTE",1
667114,SÃO MARTINHO,0
667116,"MONTANTE DO RIO RONCA, SÃO BENTO DO TOCANTINS",0
667124,CARMOLÂNDIA,0
667136,ORLA DE SAGA,0
667178,"SAPUCAIA, PONTE DE SAPUCAIA",0
667312,"ARAPOEMA, ARAPOEMA, ARAPOEMA",1
667334,PONTE RIO BARREIRAS,0
667566,SANTANA DO ARAGUAIA 3,0
667642,"FOZ RIO FORMOSO, BARREIRA DA CRUZ, PIUM",0
667644,PIUM,0
667682,"RIO URUBU, RIO URUBU FAZENDA SÃO BENTO, MONTANTE EIXO PONTE RIO URUBU, LAGOA DA CONFUSÃO, RIO URUBU FAZENDA FORTALEZA, JUSANTE EIXO TARTARUGA RIO URUBU",0
667692,"DUERÉ, FOZ RIO XAVANTE",1
668728,"CGH DONA ASSUNTA MONTANTE, PCH ÁGUA SUJA BARRAMENTO, PCH NOIDORE BARRAMENTO",1
669172,FAZENDA MIRINDIBA,0
669514,BANDEIRANTES,0
669524,"GO-347, PONTE RIO TESOURAS",0
669542,"FAZENDA ÁGUA LIMPA, BRITÂNIA",1
669552,"ESTAÇÃO MARIA HELENA MONTANTE (PIVÔ 07), ESTAÇÃO MARIA HELENA JUSANTE (PIVÔ 10)",1
669564,"IVOLÂNDIA, GO-320 SAÍDA DA GO-060",0
669566,GO-060,0
669568,SÃO LUÍS DE MONTES BELOS,0
669856,"TESOURO, CASSUNUNGA, TESOURO",0
669872,RIBEIRÃO ÁGUA SUJA,0
669934,"PCH SÃO DOMINGOS MONTANTE 2, PCH SÃO DOMINGOS MONTANTE 1, PCH SÃO DOMINGOS BARRAMENTO, PCH SÃO DOMINGOS JUSANTE",2
669976,ARAGUAINHA,0
669992,FAZENDA BARRO PRETO,0
671144,PEIXE-BOI,0
671192,AUGUSTO CORREA,0
671422,PARAGOMINAS 2,0
671426,PARAGOMINAS 1,0
672222,CAJARI RIO PINDARÉ-MIRIM,0
672258,ALTO ALEGRE DO PINDARÉ,0
672422,LAGO VERDE,0
672582,LIMA CAMPOS,0
672874,PAPAGAIO,0
673222,"ALTO ALEGRE DO MARANHÃO, SÃO MATEUS, SÃO MATEUS DO MARANHÃO",2
673232,"PEDRAS, PIRAPEMAS",1
673494,"ANAPURUS, MATA ROMA",0
673616,HUMBERTO DE CAMPOS,0
673816,BARREIRINHAS,0
673966,ILHA DOS POÇÕES,0
